start_station_name,casual_count,member_count
Nannie Helen Burroughs & Minnesota Ave NE,515,597
Langston Blvd & N Kirkwood St,406,596
14th St & Marion Barry Ave SE,174,583
White Flint Metro,408,573
S Pickett St & Shillings St,584,570
S Wakefield St & 28th St S,489,561
King Farm Blvd & Pleasant Dr,1413,560
E Montgomery Ave & Maryland Ave,743,558
Fairfax Village,642,554
Mississippi Ave & 19th St SE / THEARC,352,551
S Wayne St and 9th St S,620,549
Columbus Ave & Tribeca St,257,547
Good Hope & Naylor Rd SE,669,542
Holmes Run Pkwy & N Pickett St,1610,539
6035 Warehouse,107,537
Randle Circle & Minnesota Ave SE,709,537
White House,124,536
Lee Hwy & N Monroe St,520,532
Hyattsville Library / Adelphi Rd & Toledo Rd,698,532
South Dakota Ave & Bladensburg Rd NE,424,530
Livingston Rd & 3rd St SE,746,527
Fleet St & Ritchie Pkwy,551,526
Rockville Metro East,391,526
Stanton Square SE,354,524
Rockville Metro West,377,523
Wheeler Ave & S. Floyd St.,792,522
Capitol Heights Metro,718,506
Ridge Heights Rd & Seahawks Dr,255,501
Wiehle Ave & Reston Station Blvd,705,488
Library St & Freedom Dr,1062,480
Lee Hwy & N Kirkwood Rd,446,478
Riggs Rd & East West Hwy,963,470
Columbia Pike & W&OD Trail ,141,470
Wiehle-Reston Metro South,835,464
Spring St & 2nd Ave,732,457
King St & W Braddock Rd,519,448
24th St & Rhode Island Ave NE,310,445
Fort Lincoln Dr & 33rd Pl NE,503,443
Piccard & W Gude Dr,316,437
Pimmit Dr & Los Pueblos Ln,444,428
District Ave & Strawberry Ln/Mosaic Market Garage,1055,425
Valley Ave & Wheeler Rd SE,904,425
Vienna Metro South,405,417
Lee Hwy & N Woodstock St,584,415
N Howard St & Taney Ave,763,409
61st St & Banks Pl NE,630,408
